frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
179,1,0.543529,0,162.98,292.91,217.76,340.18,2
180,1,0.599538,0,155.68,294.72,210.32,338.74,1
181,1,0.66118,0,149.12,295.04,202.65,338.61,1
182,1,0.662628,0,142.61,293.65,196.22,339.3,1
183,1,0.672851,0,138.51,293.82,190.45,338.69,1
184,1,0.683521,0,138.2,293.66,190.43,338.5,1
185,1,0.743442,0,140.6,294.53,192.69,338.59,1
186,1,0.677995,0,143.53,294.41,195.8,338.57,1
187,1,0.732587,0,147.97,292.94,198.29,338.2,1
188,1,0.755075,0,148.63,292.97,201.06,338.14,1
189,1,0.711176,0,151.27,293.28,203.67,338.05,1
190,1,0.704942,0,156.24,293.42,205.5,337.3,1
191,1,0.733588,0,160.39,292.99,208.49,337.15,1
192,1,0.727123,0,163.62,292.68,211.4,337.57,1
193,1,0.755535,0,167.07,293.32,214.0,335.09,1
194,1,0.725883,0,169.31,291.83,218.63,335.48,1
195,1,0.747621,0,172.56,290.92,222.96,332.79,1
196,1,0.718626,0,176.72,289.92,227.63,332.97,1
197,1,0.74342,0,180.29,288.38,234.5,333.46,1
198,1,0.728222,0,185.67,288.38,238.63,332.96,1
199,1,0.72076,0,189.42,287.78,243.91,332.42,1
200,1,0.753743,0,195.72,286.83,250.36,331.34,1
201,1,0.739257,0,200.15,285.16,255.65,330.9,1
202,1,0.739469,0,207.92,285.95,261.59,329.79,1
203,1,0.71819,0,214.88,285.45,268.17,330.48,1
204,1,0.747803,0,216.19,286.0,266.68,328.9,1
205,1,0.749125,0,210.86,284.37,262.04,328.42,1
206,1,0.769612,0,208.56,285.0,256.78,327.29,1
207,1,0.73901,0,206.5,285.56,252.26,326.22,1
208,1,0.724788,0,205.23,285.29,250.16,325.96,1
209,1,0.748652,0,204.41,284.69,248.54,325.52,1
210,1,0.733655,0,202.42,283.88,246.35,324.21,1
211,1,0.710445,0,200.39,283.87,245.12,324.13,1
212,1,0.719076,0,199.1,283.25,244.99,323.29,1
213,1,0.724083,0,197.07,282.78,245.19,323.6,1
214,1,0.720225,0,196.8,283.13,244.48,323.8,1
215,1,0.746628,0,192.75,282.56,243.33,323.86,1
216,1,0.746561,0,183.93,282.15,236.22,323.77,1
217,1,0.723503,0,172.29,281.47,225.96,323.61,1
218,1,0.700063,0,159.89,281.03,216.32,327.55,1
219,1,0.73151,0,151.56,280.36,208.36,322.66,1
220,1,0.724607,0,145.98,281.16,198.26,321.55,1
221,1,0.739881,0,147.44,280.13,199.53,320.33,1
