frame,detected,best_confidence,best_class_id,x1,y1,x2,y2,num_boxes
112,1,0.690009,0,1133.94,625.35,1240.29,725.69,1
113,1,0.771691,0,1125.45,622.11,1246.25,728.58,1
114,1,0.685683,0,1128.26,623.92,1242.41,726.7,1
115,1,0.728365,0,1127.03,623.59,1238.74,727.05,1
116,1,0.746878,0,1122.55,618.79,1243.45,726.46,1
117,1,0.6599,0,1125.36,620.17,1231.41,722.02,1
118,1,0.728219,0,1121.73,618.42,1238.68,723.69,1
119,1,0.666673,0,1120.5,620.45,1226.85,724.13,1
120,1,0.747519,0,1118.55,617.66,1239.32,723.22,1
121,1,0.750344,0,1115.85,619.11,1229.28,721.51,1
122,1,0.632545,0,1111.17,620.55,1223.48,721.14,1
123,1,0.696353,0,1114.39,618.25,1224.79,721.4,1
124,1,0.717206,0,1107.47,617.28,1223.43,719.57,1
125,1,0.757285,0,1095.46,615.58,1218.28,721.64,1
126,1,0.690507,0,1101.63,612.99,1218.22,719.81,1
127,1,0.774125,0,1093.09,610.87,1211.15,718.77,1
128,1,0.723065,0,1097.03,611.52,1207.1,719.07,1
129,1,0.608179,0,1091.97,607.94,1200.23,719.18,1
130,1,0.644064,0,1083.88,607.38,1195.39,716.33,1
131,1,0.664714,0,1076.32,605.29,1193.29,715.77,1
132,1,0.558119,0,1071.77,610.42,1178.2,710.56,1
133,1,0.70343,0,1050.45,605.19,1180.68,710.2,1
134,1,0.532935,0,1055.36,606.27,1165.41,710.35,1
135,1,0.759118,0,1038.8,604.45,1158.5,709.45,1
136,1,0.72695,0,1041.79,604.0,1149.08,706.49,1
137,1,0.691794,0,1028.96,600.95,1143.9,707.2,1
138,1,0.542504,0,1019.07,601.41,1131.74,705.1,1
139,1,0.611891,0,999.77,599.4,1123.53,703.65,1
140,1,0.493231,0,997.17,598.33,1108.26,701.7,1
141,1,0.447279,0,989.08,596.03,1100.98,701.41,1
142,1,0.671163,0,975.32,596.11,1088.24,698.31,1
143,1,0.336966,0,965.93,598.59,1069.69,698.32,1
144,1,0.459518,0,949.33,591.62,1068.12,696.6,1
145,1,0.578073,0,929.53,593.94,1050.24,697.63,1
146,1,0.638349,0,923.95,588.72,1045.79,697.06,1
147,1,0.251738,0,911.68,592.06,1023.35,694.95,1
148,0,,,,,,,0
149,1,0.540962,0,890.86,586.82,1001.54,691.29,1
150,1,0.658517,0,870.77,586.46,986.19,688.97,1
151,1,0.752118,0,876.63,585.64,989.28,687.59,1
152,1,0.769137,0,880.55,584.6,999.04,686.57,1
153,1,0.542515,0,900.05,584.67,1011.94,685.73,1
154,1,0.62314,0,907.42,581.62,1020.85,684.89,1
155,1,0.691293,0,922.8,579.18,1033.94,682.55,1
156,1,0.781274,0,931.59,580.7,1038.46,680.59,1
157,1,0.77845,0,927.77,575.0,1050.09,681.19,1
158,1,0.615604,0,897.7,573.74,1022.38,681.1,1
159,1,0.706939,0,881.13,571.45,1003.12,679.53,1
160,1,0.643742,0,862.31,574.53,977.45,676.7,1
161,1,0.755904,0,847.87,572.95,958.06,676.65,1
162,1,0.699496,0,810.9,569.86,929.04,672.87,1
163,1,0.721817,0,815.67,569.64,921.98,673.05,1
164,1,0.739637,0,824.57,566.96,938.9,674.3,1
165,1,0.703574,0,808.77,568.36,922.31,672.4,1
166,1,0.744034,0,787.65,560.9,909.94,671.56,1
167,1,0.649642,0,765.25,567.31,875.57,667.91,1
